Time,D1R,D1L',S2,D1'/S2,D1',FAM,D3R,D3',D3L/IN2,D3'/S2
0.000000,0.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,0.000000
0.200000,0.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,0.000000
0.200000,20.000000,20.000000,20.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,0.000000
0.200004,19.983947,19.983947,19.999999,0.000001,0.016052,0.000000,0.000000,0.000000,20.000000,0.000000
0.200008,19.967920,19.967920,19.999997,0.000003,0.032077,0.000000,0.000000,0.000000,20.000000,0.000000
0.200012,19.951918,19.951918,19.999993,0.000007,0.048075,0.000000,0.000000,0.000000,20.000000,0.000000
0.200030,19.880577,19.880577,19.999962,0.000038,0.119385,0.000000,0.000000,0.000000,20.000000,0.000000
0.200048,19.809734,19.809734,19.999906,0.000094,0.190172,0.000000,0.000000,0.000000,20.000000,0.000000
0.200066,19.739390,19.739390,19.999825,0.000175,0.260435,0.000000,0.000000,0.000000,20.000000,0.000000
0.200084,19.669544,19.669544,19.999719,0.000281,0.330175,0.000000,0.000000,0.000000,20.000000,0.000000
0.200155,19.398548,19.398548,19.999059,0.000941,0.600511,0.000000,0.000000,0.000000,20.000000,0.000000
0.200226,19.134910,19.134910,19.998022,0.001977,0.863112,0.000000,0.000000,0.000000,20.000000,0.000000
0.200297,18.878346,18.878346,19.996618,0.003381,1.118273,0.000000,0.000000,0.000000,20.000000,0.000000
0.200368,18.628574,18.628574,19.994858,0.005141,1.366285,0.000001,0.000000,0.000000,20.000000,0.000000
0.200693,17.566368,17.566368,19.982540,0.017456,2.416176,0.000004,0.000000,0.000000,20.000000,0.000000
0.201017,16.619053,16.619053,19.963867,0.036120,3.344827,0.000013,0.000000,0.000000,20.000000,0.000000
0.201342,15.768551,15.768551,19.939612,0.060360,4.171089,0.000028,0.000000,0.000000,20.000000,0.000000
0.201667,15.000653,15.000653,19.910426,0.089522,4.909826,0.000052,0.000000,0.000000,20.000000,0.000000
0.201992,14.303972,14.303972,19.876871,0.123043,5.572986,0.000087,0.000000,0.000000,20.000000,0.000000
0.202508,13.321514,13.321514,19.815694,0.184140,6.494346,0.000165,0.000000,0.000000,20.000000,0.000000
0.203024,12.465186,12.465186,19.746360,0.253362,7.281452,0.000278,0.000000,0.000000,20.000000,0.000000
0.203540,11.711717,11.711717,19.670245,0.329327,7.958956,0.000428,0.000000,0.000000,20.000000,0.000000
0.204056,11.043807,11.043807,19.588472,0.410909,8.545284,0.000619,0.000000,0.000000,20.000000,0.000000
0.204572,10.447964,10.447964,19.501979,0.497168,9.054868,0.000853,0.000000,0.000000,20.000000,0.000000
0.205465,9.557231,9.557231,19.343269,0.655364,9.787405,0.001367,0.000000,0.000000,20.000000,0.000000
0.206359,8.806805,8.806805,19.176113,0.821861,10.371333,0.002026,0.000000,0.000000,20.000000,0.000000
0.207252,8.165027,8.165027,19.003108,0.994056,10.840917,0.002836,0.000000,0.000000,20.000000,0.000000
